Container is store 10000 languages:
Cartoon: name = ExRQwvmycn  year = 1945  legacy = PUPPET, calculation = 194.5
Cartoon: name = gSpDkZgyCu  year = 1955  legacy = PUPPET, calculation = 195.5
Documentary: name = eNnvvbGBss  year = 1955  duration = 25 , calculation = 195.5
Fiction: name = cwNqmjOTlW  year = 1956  director = qGvVPC , quotient = 195.6
Documentary: name = BzsJXnpomM  year = 1956  duration = 26 , calculation = 195.6
Fiction: name = SjZkWoijwC  year = 1956  director = pMyYFOP , quotient = 195.6
Cartoon: name = VrBxljlmJf  year = 1956  legacy = DRAW, calculation = 195.6
Documentary: name = hwIuOktAqg  year = 1956  duration = 46 , calculation = 195.6
Cartoon: name = ukGiCtfMIZ  year = 1956  legacy = PUPPET, calculation = 195.6
Documentary: name = rdvlHsghgv  year = 1956  duration = 67 , calculation = 195.6
Fiction: name = ZJtsvufKqC  year = 1956  director = JPDLvb , quotient = 195.6
Fiction: name = rgdLkBloop  year = 1956  director = jdKbBNlp , quotient = 195.6
Fiction: name = CTLeVoUKxg  year = 1956  director = tGqmjN , quotient = 195.6
Documentary: name = MkzoLsnApH  year = 1956  duration = 51 , calculation = 195.6
Documentary: name = RDwAAsldmh  year = 1956  duration = 79 , calculation = 195.6
Fiction: name = KcnPMTrKsV  year = 1956  director = egFjZrU , quotient = 195.6
Fiction: name = NPEjEFLTyt  year = 1956  director = lGQMCQYQfX , quotient = 195.6
Fiction: name = BGnLyUpXye  year = 1956  director = GuoVF , quotient = 195.6
Cartoon: name = KEvaHScKTm  year = 1956  legacy = PUPPET, calculation = 195.6
Fiction: name = CHEEYDgUsT  year = 1956  director = qriiu , quotient = 195.6
Cartoon: name = zPmwMLtdXm  year = 1956  legacy = PUPPET, calculation = 195.6
Cartoon: name = uPvInqVZRD  year = 1956  legacy = PLASTICINE, calculation = 195.6
Cartoon: name = fBcaSbuMjS  year = 1956  legacy = PLASTICINE, calculation = 195.6
Documentary: name = OhWEBKlVhn  year = 1956  duration = 32 , calculation = 195.6
Fiction: name = tQqXoHWXHv  year = 1956  director = bGscXbvFy , quotient = 195.6
Fiction: name = pxVgPyCbWK  year = 1956  director = YEGnThYGI , quotient = 195.6
Cartoon: name = gLHgjviKiG  year = 1957  legacy = PLASTICINE, calculation = 195.7
Cartoon: name = QWbYpfkgZS  year = 1957  legacy = PLASTICINE, calculation = 195.7
Documentary: name = JfsYiqBEUt  year = 1957  duration = 69 , calculation = 195.7
Fiction: name = RUVjptpWhs  year = 1957  director = UGzsDSowag , quotient = 195.7
Documentary: name = WhjSfiyDux  year = 1957  duration = 92 , calculation = 195.7
Fiction: name = wNasPDKmrV  year = 1957  director = HPaUXz , quotient = 195.7
Fiction: name = OEIjJsWWDc  year = 1957  director = QTptxDXuf , quotient = 195.7
Cartoon: name = tvDTmkFTOe  year = 1957  legacy = PUPPET, calculation = 195.7
Fiction: name = quXPOYZPIL  year = 1957  director = CFaMGGoEi , quotient = 195.7
Documentary: name = DeiDKqREqf  year = 1957  duration = 52 , calculation = 195.7
Documentary: name = SiFdqRxRLE  year = 1957  duration = 57 , calculation = 195.7
Fiction: name = AgQvPVJPRJ  year = 1957  director = pdINai , quotient = 195.7
Cartoon: name = nBAvguQRQz  year = 1957  legacy = PUPPET, calculation = 195.7
Cartoon: name = tcwPVUmRzG  year = 1957  legacy = PUPPET, calculation = 195.7
Cartoon: name = pRnmhzaJlp  year = 1957  legacy = PLASTICINE, calculation = 195.7
Documentary: name = ekXPajItTP  year = 1957  duration = 68 , calculation = 195.7
Cartoon: name = gggbiUIbLb  year = 1957  legacy = PUPPET, calculation = 195.7
Cartoon: name = QnqiXQgCTZ  year = 1957  legacy = DRAW, calculation = 195.7
Documentary: name = RJAKGxcBMZ  year = 1957  duration = 56 , calculation = 195.7
Documentary: name = AynCanpizN  year = 1957  duration = 82 , calculation = 195.7
Documentary: name = YqMHDsQAAQ  year = 1957  duration = 98 , calculation = 195.7
Fiction: name = OYfDZUwubZ  year = 1958  director = fyDmeniAmU , quotient = 195.8
Documentary: name = koojwozzMu  year = 1958  duration = 11 , calculation = 195.8
Cartoon: name = GfHYOnHLUP  year = 1958  legacy = PLASTICINE, calculation = 195.8
Cartoon: name = UyQBMgKyMi  year = 1958  legacy = PLASTICINE, calculation = 195.8
Cartoon: name = egCUgIhQfr  year = 1958  legacy = DRAW, calculation = 195.8
Documentary: name = yidsaATCAu  year = 1958  duration = 81 , calculation = 195.8
Fiction: name = JKwpleBVYL  year = 1958  director = yFbMKr , quotient = 195.8
Fiction: name = VQghUqwDhH  year = 1958  director = hBujY , quotient = 195.8
Fiction: name = fLveYAfLQy  year = 1958  director = uuTNWzp , quotient = 195.8
Documentary: name = NWEcKDEqpV  year = 1958  duration = 18 , calculation = 195.8
Cartoon: name = PkwCkyowsg  year = 1958  legacy = PLASTICINE, calculation = 195.8
Documentary: name = cPtBzXjwEE  year = 1958  duration = 65 , calculation = 195.8
Fiction: name = YylkJPBbZv  year = 1958  director = WCPLTT , quotient = 195.8
Documentary: name = LXeAurYPLK  year = 1958  duration = 52 , calculation = 195.8
Cartoon: name = wOeKYLwNfV  year = 1958  legacy = PUPPET, calculation = 195.8
Cartoon: name = ZKedxlzPjh  year = 1958  legacy = DRAW, calculation = 195.8
Documentary: name = eiFisRoLKM  year = 1958  duration = 25 , calculation = 195.8
Documentary: name = OjoMfwNbgg  year = 1958  duration = 88 , calculation = 195.8
Documentary: name = MsPiMkjNoA  year = 1958  duration = 6 , calculation = 195.8
Documentary: name = AKTBbqnCgC  year = 1958  duration = 25 , calculation = 195.8
Fiction: name = LoEXvxBejO  year = 1958  director = RdaBtaZn , quotient = 195.8
Cartoon: name = oaxSVCkAfK  year = 1958  legacy = PLASTICINE, calculation = 195.8
Documentary: name = XsciKFcixh  year = 1959  duration = 22 , calculation = 195.9
Cartoon: name = dJUHiBjgES  year = 1959  legacy = PUPPET, calculation = 195.9
Fiction: name = uJqACWmwIK  year = 1959  director = BHQrBiXuV , quotient = 195.9
Cartoon: name = GdNElXqFSU  year = 1959  legacy = PUPPET, calculation = 195.9
Cartoon: name = ZjOmyMagIx  year = 1959  legacy = PUPPET, calculation = 195.9
Documentary: name = OqbntkBjNE  year = 1959  duration = 96 , calculation = 195.9
Documentary: name = cHjfppOdxE  year = 1959  duration = 8 , calculation = 195.9
Documentary: name = gzVhuIdiOz  year = 1959  duration = 52 , calculation = 195.9
Cartoon: name = AENuRExpkD  year = 1959  legacy = PLASTICINE, calculation = 195.9
Cartoon: name = OoIYHTpniR  year = 1959  legacy = PUPPET, calculation = 195.9
Fiction: name = CZmrbUsmuE  year = 1959  director = XDtUnBF , quotient = 195.9
Fiction: name = aNhRYtYJpe  year = 1959  director = vOxTpWwDh , quotient = 195.9
Cartoon: name = cchvinGuTU  year = 1959  legacy = PUPPET, calculation = 195.9
Documentary: name = YBGbRLuxYz  year = 1959  duration = 51 , calculation = 195.9
Documentary: name = HZFkaqWfdd  year = 1959  duration = 11 , calculation = 195.9
Cartoon: name = FaskKXaktr  year = 1959  legacy = PUPPET, calculation = 195.9
Documentary: name = TuPTNNRZDK  year = 1959  duration = 28 , calculation = 195.9
Documentary: name = BFlDKAPzwT  year = 1960  duration = 36 , calculation = 196.0
Cartoon: name = JapepNOlUC  year = 1960  legacy = PLASTICINE, calculation = 196.0
Fiction: name = oAVXFQhhzY  year = 1960  director = CuCCiAYT , quotient = 196.0
Cartoon: name = hsQjxLnQfP  year = 1960  legacy = PUPPET, calculation = 196.0
Cartoon: name = UHFKlsooNy  year = 1960  legacy = PLASTICINE, calculation = 196.0
Fiction: name = LfFhatlfXm  year = 1960  director = nbdkRd , quotient = 196.0
Cartoon: name = pCTFOUzXdY  year = 1960  legacy = PLASTICINE, calculation = 196.0
Fiction: name = ECimkfYVSM  year = 1960  director = iAlGqRy , quotient = 196.0
Fiction: name = ahUnddkGyL  year = 1960  director = sqyOIvTznc , quotient = 196.0
Documentary: name = BwqUFUkwDK  year = 1960  duration = 45 , calculation = 196.0
Cartoon: name = YIqXfjrjzg  year = 1960  legacy = DRAW, calculation = 196.0
Fiction: name = FKQxhloQsU  year = 1960  director = QlpakMe , quotient = 196.0
Fiction: name = FUPIfwpBaP  year = 1960  director = uvoxghGfdJ , quotient = 196.0
Documentary: name = AGubIBmbpI  year = 1960  duration = 54 , calculation = 196.0
Cartoon: name = VthzBSmnpL  year = 1960  legacy = DRAW, calculation = 196.0
Cartoon: name = LQEyLMROex  year = 1961  legacy = PUPPET, calculation = 196.1
Documentary: name = gTCIXltRbP  year = 1961  duration = 76 , calculation = 196.1
Documentary: name = tdmTUgwuKq  year = 1961  duration = 37 , calculation = 196.1
Fiction: name = elBFsybwAB  year = 1961  director = MHkueqf , quotient = 196.1
Documentary: name = TvYvKcyEAu  year = 1961  duration = 45 , calculation = 196.1
Fiction: name = fFFFLINEAZ  year = 1961  director = aXXXz , quotient = 196.1
Cartoon: name = SUrgYsAVnn  year = 1961  legacy = PLASTICINE, calculation = 196.1
Fiction: name = IFTqVXexAL  year = 1961  director = rCFvwYlhba , quotient = 196.1
Fiction: name = gVkwZSlsJN  year = 1961  director = gzaywx , quotient = 196.1
Cartoon: name = nQhMdcHFvJ  year = 1961  legacy = PUPPET, calculation = 196.1
Cartoon: name = KuRYFhYcUy  year = 1961  legacy = DRAW, calculation = 196.1
Cartoon: name = DhfbdIpHEj  year = 1961  legacy = PUPPET, calculation = 196.1
Cartoon: name = rtLJQoqDDe  year = 1961  legacy = DRAW, calculation = 196.1
Fiction: name = wFreGYiYEN  year = 1961  director = zJKJpGqCkF , quotient = 196.1
